genename	sampname	gene	samp	value
PIK3CD	0	1	1	1.09267128169834
PIK3CD	0	1	2	0.0502696227345422
PIK3CD	0	1	3	1.18923998313705
PIK3CD	0	1	4	0.83829759283898
PIK3CD	0	1	5	-0.0947218373973996
PIK3CD	0	1	6	0.0745245479407803
PIK3CD	0	1	7	-0.148259166036049
PIK3CD	0	1	8	-0.730677677360058
PIK3CD	0	1	9	1.30891395163325
PIK3CD	0	1	10	-0.486130450520998
PIK3CD	0	1	11	-1.48478250541205
PIK3CD	0	1	12	1.54733504074114
PIK3CD	0	1	13	-1.49218783745253
PIK3CD	0	1	14	0.579316528809945
PIK3CD	0	1	15	0.231302124826652
PIK3CD	0	1	16	0.60830475871503
PIK3CD	0	1	17	-1.40551114205816
PIK3CD	0	1	18	0.93058755332828
PIK3CD	0	1	19	-0.931314779910488
PIK3CD	0	1	20	-0.526847843475998
PIK3CD	0	1	21	0.835321820776569
PIK3CD	0	1	22	0.530934004200011
PIK3CD	0	1	23	-0.407024733115253
PIK3CD	0	1	24	-2.10956083864162
PIK3CD	1	1	25	0.0115778250239248
PIK3CD	1	1	26	1.01878154222102
PIK3CD	1	1	27	0.320607550428387
PIK3CD	1	1	28	0.302953119234038
PIK3CD	1	1	29	-1.39112921447994
PIK3CD	1	1	30	2.02213156805203
PIK3CD	1	1	31	-1.98021915902562
PIK3CD	1	1	32	1.57514549239617
PIK3CD	1	1	33	-0.435418637722404
PIK3CD	1	1	34	-1.12524296442776
PIK3CD	1	1	35	-0.0374830272059358
PIK3CD	1	1	36	1.14963287048243
PIK3CD	1	1	37	-0.916352270881401
PIK3CD	1	1	38	-3.16576698074529
PIK3CD	1	1	39	0.955023012231649
PIK3CD	1	1	40	-0.138021773638262
PIK3CD	1	1	41	-7.1351052408592
PIK3CD	1	1	42	1.86088735048166
CACNA1A	0	2	1	-1.26271672566751
CACNA1A	0	2	2	-0.735635347277644
CACNA1A	0	2	3	-0.429825838106481
CACNA1A	0	2	4	1.20598122200458
CACNA1A	0	2	5	-0.695647805643782
CACNA1A	0	2	6	0.161364890815927
CACNA1A	0	2	7	0.0706260855924238
CACNA1A	0	2	8	0.334949548509401
CACNA1A	0	2	9	-0.358038578369226
CACNA1A	0	2	10	-0.28794058838089
CACNA1A	0	2	11	-1.21505127482894
CACNA1A	0	2	12	1.9123973077395
CACNA1A	0	2	13	-1.26271672566751
CACNA1A	0	2	14	-1.21505127482894
CACNA1A	0	2	15	0.0397550619499619
CACNA1A	0	2	16	-0.322783408060008
CACNA1A	0	2	17	0.306712113182609
CACNA1A	0	2	18	-1.51320261237295
CACNA1A	0	2	19	0.577719507829671
CACNA1A	0	2	20	0.191007196304286
CACNA1A	0	2	21	-0.152506942957913
CACNA1A	0	2	22	1.40871433478417
CACNA1A	0	2	23	1.44765642031943
CACNA1A	0	2	24	1.79423343312983
CACNA1A	1	2	25	0.0706260855924238
CACNA1A	1	2	26	-0.540858334096802
CACNA1A	1	2	27	0.22035745462586
CACNA1A	1	2	28	-1.56593013260693
CACNA1A	1	2	29	-0.466378776731753
CACNA1A	1	2	30	2.85505528613101
CACNA1A	1	2	31	-2.08786786576661
CACNA1A	1	2	32	-1.03166864198634
CACNA1A	1	2	33	0.802187525029905
CACNA1A	1	2	34	3.42421401832209
CACNA1A	1	2	35	1.05538461127979
CACNA1A	1	2	36	0.802187525029905
CACNA1A	1	2	37	-0.0548251714298042
CACNA1A	1	2	38	1.89580101343711
CACNA1A	1	2	39	3.09813985940849
CACNA1A	1	2	40	3.05334161487632
CACNA1A	1	2	41	2.86709177572732
CACNA1A	1	2	42	0.47225620696006
PIK3R5	0	3	1	-0.0535045072980418
